epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,742.425,2.01963,2.69922,0.01256,0.29627,0.31553,0.26672,0.09839,2.06485,1.89671,0.00824,0.000555562,0.000555562,0.000555562
2,1454.4,2.07962,2.04887,0.01319,0.43435,0.44069,0.40224,0.17146,1.84819,1.39951,0.00732,0.000744523,0.000744523,0.000744523
3,2169.55,1.9219,1.69738,0.01178,0.62395,0.51821,0.56938,0.26473,1.71071,1.09689,0.00671,0.000566744,0.000566744,0.000566744
