epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1603.19,1.85679,4.27629,0.01039,0.34293,0.42456,0.32458,0.1273,1.82012,2.09625,0.00679,0.000555562,0.000555562,0.000555562
2,3082.48,1.92,2.15247,0.01127,0.52141,0.57952,0.49791,0.20982,1.80174,1.5213,0.00661,0.000744523,0.000744523,0.000744523
3,4527.95,1.84985,1.78602,0.01089,0.61093,0.56746,0.54214,0.22333,1.71735,1.27379,0.0067,0.000566744,0.000566744,0.000566744
